"lang"
{
"Language"	"dutch"
"Cstrike_TitlesTXT_Game_join_ct_auto"	"%s1 heeft zich aangesloten bij de Geïnfecteerden (autom.)"
"[english]Cstrike_TitlesTXT_Game_join_ct_auto"	"%s1 is joining the Infected (auto)"
"Cstrike_TitlesTXT_Game_join_terrorist"	"%s1 heeft zich aangesloten bij de Overlevenden"
"[english]Cstrike_TitlesTXT_Game_join_terrorist"	"%s1 is joining the Survivors"
"Cstrike_TitlesTXT_Game_join_terrorist_auto"	"%s1 heeft zich aangesloten bij de Overlevenden (autom.)"
"[english]Cstrike_TitlesTXT_Game_join_terrorist_auto"	"%s1 is joining the Survivors (auto)"
"Cstrike_TitlesTXT_Game_timelimit"	"Resterende tijd: %s1:%s2. Volgende campagne is %s3."
"[english]Cstrike_TitlesTXT_Game_timelimit"	"Time Remaining:  %s1:%s2. Next campaign is %s3."
"Cstrike_TitlesTXT_Terrorist_Forces"	"Overlevenden"
"[english]Cstrike_TitlesTXT_Terrorist_Forces"	"Survivors"
"Cstrike_TitlesTXT_Terrorists_Full"	"Het team van de Overlevenden is vol"
"[english]Cstrike_TitlesTXT_Terrorists_Full"	"The Survivor team is full"
"Cstrike_TitlesTXT_Terrorists_Win"	"De Overlevenden hebben gewonnen!"
"[english]Cstrike_TitlesTXT_Terrorists_Win"	"Survivors win!"
"Cstrike_TitlesTXT_Game_connected"	"%s1 is verbonden"
"[english]Cstrike_TitlesTXT_Game_connected"	"%s1 connected"
"Cstrike_TitlesTXT_Game_disconnected"	"%s1 heeft het spel verlaten"
"[english]Cstrike_TitlesTXT_Game_disconnected"	"%s1 has left the game"
"Cstrike_TitlesTXT_Game_idle_kick"	"%s1 is te lang niet actief geweest en werd gekickt"
"[english]Cstrike_TitlesTXT_Game_idle_kick"	"%s1 has been idle for too long and has been kicked"
"L4D_Chat_Infected"	"(Geïnfecteerde) %s1 :  %s2"
"[english]L4D_Chat_Infected"	"(Infected) %s1 :  %s2"
"L4D_Chat_Survivor"	"(Overlevende) %s1 :  %s2"
"[english]L4D_Chat_Survivor"	"(Survivor) %s1 :  %s2"
"L4D_Chat_Infected_Dead"	"*DOOD*(Geïnfecteerde) %s1 :  %s2"
"[english]L4D_Chat_Infected_Dead"	"*DEAD*(Infected) %s1 :  %s2"
"L4D_Chat_Survivor_Dead"	"*DOOD*(Overlevende) %s1 :  %s2"
"[english]L4D_Chat_Survivor_Dead"	"*DEAD*(Survivor) %s1 :  %s2"
"L4D_Chat_Spec"	"(Toeschouwer) %s1 :  %s2"
"[english]L4D_Chat_Spec"	"(Spectator) %s1 :  %s2"
"L4D_Chat_All"	"%s1 :  %s2"
"[english]L4D_Chat_All"	"%s1 :  %s2"
"L4D_Chat_AllDead"	"*DOOD* %s1 :  %s2"
"[english]L4D_Chat_AllDead"	"*DEAD* %s1 :  %s2"
"L4D_Chat_AllSpec"	"*TOESCH* %s1 :  %s2"
"[english]L4D_Chat_AllSpec"	"*SPEC* %s1 :  %s2"
"L4D_Chat_Prompt_Team_General"	"Zeg (TEAM):"
"[english]L4D_Chat_Prompt_Team_General"	"Say (TEAM):"
"L4D_Chat_Prompt_Team_Infected"	"Zeg (Geïnfecteerde):"
"[english]L4D_Chat_Prompt_Team_Infected"	"Say (Infected):"
"L4D_Chat_Prompt_Team_Survivor"	"Zeg (Overlevende):"
"[english]L4D_Chat_Prompt_Team_Survivor"	"Say (Survivor):"
"Cstrike_Name_Change"	"* %s1 heeft nu de naam %s2"
"[english]Cstrike_Name_Change"	"* %s1 changed name to %s2"
"Cstrike_Nextlevel_Quit"	"De server wordt aan het eind van deze ronde uitgeschakeld"
"[english]Cstrike_Nextlevel_Quit"	"Server is shutting down next round"
"Cstrike_Nextlevel_Set"	"De server gaat over op %s1 aan het eind van deze ronde"
"[english]Cstrike_Nextlevel_Set"	"Server is changing to %s1 next round"
"Cstrike_Nextlevel_Unset"	"Campagnewijziging is geannuleerd"
"[english]Cstrike_Nextlevel_Unset"	"Campaign change has been cancelled"
"Cstrike_Nextlevel_Blank"	"De server wijzigt niet van campagne"
"[english]Cstrike_Nextlevel_Blank"	"Server is not changing campaigns"
"Cstrike_Nextlevel_Unset2"	"Hoofdstukwijziging is geannuleerd"
"[english]Cstrike_Nextlevel_Unset2"	"Chapter change has been cancelled"
"Cstrike_Nextlevel_Blank2"	"De server wijzigt niet van hoofdstuk"
"[english]Cstrike_Nextlevel_Blank2"	"Server is not changing chapters"
"Cstrike_game_join_terrorist"	"%s1 heeft zich aangesloten bij de Overlevenden\n"
"[english]Cstrike_game_join_terrorist"	"%s1 is joining the Survivors\n"
"Cstrike_game_join_ct"	"%s1 heeft zich aangesloten bij de Geïnfecteerden\n"
"[english]Cstrike_game_join_ct"	"%s1 is joining the Infected\n"
"L4D_Teammate_Attack"	"%s1 heeft %s2 aangevallen"
"[english]L4D_Teammate_Attack"	"%s1 attacked %s2"
"L4D_Teammate_Attack_Involved"	"%s1 heeft %s2 aangevallen"
"[english]L4D_Teammate_Attack_Involved"	"%s1 attacked %s2"
"Cstrike_game_join_spectators"	"%s1 heeft zich aangesloten bij de toeschouwers"
"[english]Cstrike_game_join_spectators"	"%s1 is joining the Spectators"
"L4D_TargetID_Player"	"%s1"
"[english]L4D_TargetID_Player"	"%s1"
"L4D_TargetID_Player_Health"	"%s1 (%s2)"
"[english]L4D_TargetID_Player_Health"	"%s1 (%s2)"
"L4D_Use_Revive"	"DRUK OP '%s1' OM DEZE TEAMGENOOT OP DE BEEN TE HELPEN"
"[english]L4D_Use_Revive"	"PRESS '%s1' TO REVIVE TEAMMATE"
"L4D_Use_LedgeHang"	"DRUK OP '%s1' OM DEZE TEAMGENOOT TE HELPEN KLIMMEN"
"[english]L4D_Use_LedgeHang"	"PRESS '%s1' TO HELP TEAMMATE CLIMB UP"
"L4D_Use_Minigun"	"DRUK OP '%s1' OM DE MINIGUN TE GEBRUIKEN"
"[english]L4D_Use_Minigun"	"PRESS '%s1' TO USE MINIGUN"
"L4D_Use_Radio"	"DRUK OP '%s1' OM EEN REDDINGSSIGNAAL TE VERSTUREN"
"[english]L4D_Use_Radio"	"PRESS '%s1' TO SIGNAL FOR A RESCUE"
"L4D_Heal_Other"	"DRUK OP '%s1' OM DEZE TEAMGENOOT TE GENEZEN"
"[english]L4D_Heal_Other"	"PRESS '%s1' TO HEAL TEAMMATE"
"L4D_tank_attack_survivors"	"VAL DE OVERLEVENDEN AAN"
"[english]L4D_tank_attack_survivors"	"ATTACK THE SURVIVORS"
"L4D_tank_lose_control"	"Je moet aanvallen, anders"
"[english]L4D_tank_lose_control"	"You must attack or you will"
"L4D_tank_lose_control_1"	"verlies je de besturing van de Tank"
"[english]L4D_tank_lose_control_1"	"lose control of the Tank"
"L4D_tank_control"	"BESTURING"
"[english]L4D_tank_control"	"CONTROL"
"L4D_tank_take_control"	"JE WORDT DE TANK"
"[english]L4D_tank_take_control"	"YOU WILL BECOME THE TANK"
"L4D_tank_take_control_tip"	"Maak je gereed om de Overlevenden aan te vallen"
"[english]L4D_tank_take_control_tip"	"Get ready to attack the survivors"
"L4D_tank_awoken"	"ER KOMT EEN TANK AAN"
"[english]L4D_tank_awoken"	"A TANK IS APPROACHING"
"L4D_tank_is_becoming"	"%s1 wordt de Tank"
"[english]L4D_tank_is_becoming"	"%s1 is becoming the tank"
"L4D_pz_spectator_title"	"JE BENT DOOD"
"[english]L4D_pz_spectator_title"	"YOU ARE DEAD"
"L4D_pz_tank_battle"	"Wacht op de uitkomst van de Tankstrijd..."
"[english]L4D_pz_tank_battle"	"Waiting for Tank battle conclusion..."
"L4D_pz_finale_setup"	"Wacht op de start van de finale..."
"[english]L4D_pz_finale_setup"	"Waiting for the finale to begin..."
"L4D_pz_finale_wave"	"Wacht op de volgende stormloop van Geïnfecteerden..."
"[english]L4D_pz_finale_wave"	"Waiting for the next swarm of Infected..."
"L4D_pz_survivors_escaped"	"De Overlevenden zijn ontsnapt..."
"[english]L4D_pz_survivors_escaped"	"The Survivors have escaped..."
"L4D_pz_waiting_for_survivors"	"Wacht op Overlevenden..."
"[english]L4D_pz_waiting_for_survivors"	"Waiting for Survivors..."
"L4D_pz_scrimmage_wait"	"Wachten tot een Overlevende het respawngebied betreedt... %s1"
"[english]L4D_pz_scrimmage_wait"	"Waiting for a Survivor to cross the line of scrimmage... %s1"
"L4D_pz_spawn_countdown"	"Je betreedt de Spawnmodus in %s1 seconden"
"[english]L4D_pz_spawn_countdown"	"You will enter Spawn Mode in %s1 seconds"
"L4D_pz_spawn_countdown_single"	"Je betreedt de Spawnmodus in 1 seconde"
"[english]L4D_pz_spawn_countdown_single"	"You will enter Spawn Mode in 1 second"
"L4D_pz_spawn_spawning"	"Spawnmodus betreden..."
"[english]L4D_pz_spawn_spawning"	"Entering Spawn Mode..."
"L4D_pz_now_infected_title"	"JE BENT NU GEÏNFECTEERD"
"[english]L4D_pz_now_infected_title"	"YOU ARE NOW INFECTED"
"L4D_pz_now_infected_subtitle"	"De Overlevenden moeten het startgebied hebben verlaten voordat je kunt spawnen."
"[english]L4D_pz_now_infected_subtitle"	"You will need to wait for the Survivors to leave the starting area before you can spawn."
"L4D_pz_spawn_btn_overview"	"OVERZICHT"
"[english]L4D_pz_spawn_btn_overview"	"OVERVIEW"
"L4D_pz_spawn_overview"	"De klasse waarin je wordt gespawnd kan elke keer verschillen afhankelijk van de klassen die op dat moment in het spel zitten.\n\nJe begint in de 'Spawnselectiemodus', waar je de optimale locatie kunt selecteren om te spawnen."
"[english]L4D_pz_spawn_overview"	"The class you spawn as may change each time you spawn, depending on the other classes currently in play.\n\nYou will start in 'Spawn Select Mode.' Move around to select an optimal location to spawn in."
"L4D_pz_spawn_btn_hunter"	"HUNTER"
"[english]L4D_pz_spawn_btn_hunter"	"HUNTER"
"L4D_pz_spawn_hunter"	" "
"[english]L4D_pz_spawn_hunter"	" "
"L4D_pz_spawn_btn_boomer"	"BOOMER"
"[english]L4D_pz_spawn_btn_boomer"	"BOOMER"
"L4D_pz_spawn_boomer"	" "
"[english]L4D_pz_spawn_boomer"	" "
"L4D_pz_spawn_btn_smoker"	"SMOKER"
"[english]L4D_pz_spawn_btn_smoker"	"SMOKER"
"L4D_pz_spawn_smoker"	" "
"[english]L4D_pz_spawn_smoker"	" "
"L4D_pz_spawn_btn_tank"	"TANK"
"[english]L4D_pz_spawn_btn_tank"	"TANK"
"L4D_pz_spawn_tank"	" "
"[english]L4D_pz_spawn_tank"	" "
"L4D_pz_spawn_btn_zombie"	"ZOMBIE"
"[english]L4D_pz_spawn_btn_zombie"	"ZOMBIE"
"L4D_pz_spawn_zombie"	" "
"[english]L4D_pz_spawn_zombie"	" "
"L4D_pz_AsAHunter"	"ALS EEN HUNTER"
"[english]L4D_pz_AsAHunter"	"AS A HUNTER"
"L4D_pz_AsASmoker"	"ALS EEN SMOKER"
"[english]L4D_pz_AsASmoker"	"AS A SMOKER"
"L4D_pz_AsABoomer"	"ALS EEN BOOMER"
"[english]L4D_pz_AsABoomer"	"AS A BOOMER"
"L4D_pz_AsATank"	"ALS EEN TANK"
"[english]L4D_pz_AsATank"	"AS A TANK"
"L4D_pz_ThatLife"	"IN DAT LEVEN:"
"[english]L4D_pz_ThatLife"	"THAT LIFE:"
"L4D_pz_Rank"	"TOTALE AANTAL PUNTEN:"
"[english]L4D_pz_Rank"	"TOTAL POINTS:"
"L4D_pz_TankTickets"	"TICKETS"
"[english]L4D_pz_TankTickets"	"TICKETS"
"L4D_pz_TotalPointsEarned"	"Totale aantal verdiende punten:"
"[english]L4D_pz_TotalPointsEarned"	"Total points earned:"
"L4D_pz_DamageDealt"	"Verwondingen toegebracht aan Overlevenden:"
"[english]L4D_pz_DamageDealt"	"Damage to Survivors:"
"L4D_pz_SurvivorIncapCount"	"Uitgeschakelde Overlevenden:"
"[english]L4D_pz_SurvivorIncapCount"	"Survivors incapacitated:"
"L4D_pz_SurvivorKillCount"	"Gedode Overlevenden:"
"[english]L4D_pz_SurvivorKillCount"	"Survivors killed:"
"L4D_pz_VomitCount"	"Met Boomer-gal ondergekotste Overlevenden:"
"[english]L4D_pz_VomitCount"	"Survivors tagged with Boomer bile:"
"L4D_pz_BoomerBombCount"	"Boomerbommen:"
"[english]L4D_pz_BoomerBombCount"	"Boomer Bombs:"
"L4D_pz_PounceCount"	"Besprongen Overlevenden:"
"[english]L4D_pz_PounceCount"	"Survivors pounced:"
"L4D_pz_LungeCount"	"Weggeduwde Overlevenden:"
"[english]L4D_pz_LungeCount"	"Survivors pushed:"
"L4D_pz_HangCount"	"Omstrengelde Overlevenden:"
"[english]L4D_pz_HangCount"	"Survivors constricted:"
"L4D_pz_PullCount"	"Meegesleepte Overlevenden:"
"[english]L4D_pz_PullCount"	"Survivors dragged:"
"L4D_pz_TankPunchCount"	"Gevelde Overlevenden:"
"[english]L4D_pz_TankPunchCount"	"Survivors knocked down:"
"L4D_pz_TankThrowCount"	"Succesvolle worpen:"
"[english]L4D_pz_TankThrowCount"	"Successful throws:"
"L4D_Loading_Map"	"Laden..."
"[english]L4D_Loading_Map"	"Loading..."
"L4D_Checkpoint_Cleared"	"CONTROLEPUNT BEREIKT"
"[english]L4D_Checkpoint_Cleared"	"CHECKPOINT CLEARED"
"L4D_Event_History"	"GESCHIEDENIS:"
"[english]L4D_Event_History"	"EVENT HISTORY"
"L4D_s_current_status"	"HUIDIGE STATUS OVERLEVENDEN:"
"[english]L4D_s_current_status"	"CURRENT SURVIVOR STATUS"
"L4D_s_Kills"	"DODEN"
"[english]L4D_s_Kills"	"KILLS"
"L4D_s_Damage_Taken"	"VERWONDINGEN\nOPGELOPEN"
"[english]L4D_s_Damage_Taken"	"DAMAGE\nTAKEN"
"L4D_s_pzs_killed"	"Speciale Geïnfecteerden gedood:"
"[english]L4D_s_pzs_killed"	"Special Infected killed:"
"L4D_s_others_revived"	"Op de been geholpen Overlevenden:"
"[english]L4D_s_others_revived"	"Survivors revived:"
"L4D_s_first_aid_shared"	"Uitgedeelde EHBO-dozen:"
"[english]L4D_s_first_aid_shared"	"First aid kits shared:"
"L4D_s_mission_difficulty"	"%s1, %s2"
"[english]L4D_s_mission_difficulty"	"%s1, %s2"
"L4D_s_loading"	"Laadt: \"%s1\" - %s2"
"[english]L4D_s_loading"	"Loading: \"%s1\" - %s2"
"L4D_spawn_select_mode_title"	"Spawnlocatie kiezen"
"[english]L4D_spawn_select_mode_title"	"Choose Spawn Location"
"L4D_spawn_select_mode_class_HUNTER"	"HUNTER"
"[english]L4D_spawn_select_mode_class_HUNTER"	"HUNTER"
"L4D_spawn_select_mode_class_CHARGER"	"CHARGER"
"[english]L4D_spawn_select_mode_class_CHARGER"	"CHARGER"
"L4D_spawn_select_mode_class_SPITTER"	"SPITTER"
"[english]L4D_spawn_select_mode_class_SPITTER"	"SPITTER"
"L4D_spawn_select_mode_class_JOCKEY"	"JOCKEY"
"[english]L4D_spawn_select_mode_class_JOCKEY"	"JOCKEY"
"L4D_spawn_select_mode_class_SMOKER"	"SMOKER"
"[english]L4D_spawn_select_mode_class_SMOKER"	"SMOKER"
"L4D_spawn_select_mode_class_BOOMER"	"BOOMER"
"[english]L4D_spawn_select_mode_class_BOOMER"	"BOOMER"
"L4D_spawn_select_mode_text_1"	"Zoek een schuilplaats uit de buurt van de Overlevenden en ga spawnen."
"[english]L4D_spawn_select_mode_text_1"	"Get away from the Survivors, find a good place to hide, then spawn into the world."
"L4D_spawn_select_mode_text_2"	"Je hoeft niet meteen te spawnen. Wacht tot je de perfecte plek hebt gevonden om aan te vallen."
"[english]L4D_spawn_select_mode_text_2"	"You don't need to spawn right away. Wait until you find the perfect place to attack."
"L4D_spawn_select_mode_text_3"	"In de Spawnmodus kun je je sneller verplaatsen. Zoek naar schuilplaatsen die anders te veel tijd zouden kosten om die te bereiken."
"[english]L4D_spawn_select_mode_text_3"	"You move faster in Spawn Mode. Look for hiding spots that would take you too long to get to otherwise."
"L4D_spawn_select_mode_boomer_secondary"	"Kots"
"[english]L4D_spawn_select_mode_boomer_secondary"	"Vomit"
"L4D_spawn_select_mode_boomer_1_title"	"Primair: KOTSEN"
"[english]L4D_spawn_select_mode_boomer_1_title"	"Primary: VOMIT"
"L4D_spawn_select_mode_boomer_1_text"	"Aanval op middellange afstand"
"[english]L4D_spawn_select_mode_boomer_1_text"	"Attack at medium range"
"L4D_spawn_select_mode_boomer_2_title"	"Secundair: KLAUW"
"[english]L4D_spawn_select_mode_boomer_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_boomer_2_text"	"Aanval op korte afstand"
"[english]L4D_spawn_select_mode_boomer_2_text"	"Attack at short range"
"L4D_spawn_select_mode_hunter_title"	"JE WORDT ALS HUNTER GESPAWND"
"[english]L4D_spawn_select_mode_hunter_title"	"YOU WILL SPAWN AS A HUNTER"
"L4D_spawn_select_mode_hunter_text"	"Je wordt als Hunter gespawnd"
"[english]L4D_spawn_select_mode_hunter_text"	"You will spawn as a Hunter"
"L4D_spawn_select_mode_hunter_secondary"	"Bespringen"
"[english]L4D_spawn_select_mode_hunter_secondary"	"Pounce"
"L4D_spawn_select_mode_hunter_1_title"	"Primair: BESPRINGEN"
"[english]L4D_spawn_select_mode_hunter_1_title"	"Primary: POUNCE"
"L4D_spawn_select_mode_hunter_1_text"	"Buk en druk vervolgens in om aan te vallen"
"[english]L4D_spawn_select_mode_hunter_1_text"	"Crouch, then press to attack"
"L4D_spawn_select_mode_hunter_2_title"	"Secundair: KLAUW"
"[english]L4D_spawn_select_mode_hunter_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_hunter_2_text"	"Aanval op korte afstand"
"[english]L4D_spawn_select_mode_hunter_2_text"	"Attack at short range"
"L4D_spawn_select_mode_smoker_title"	"JE WORDT ALS SMOKER GESPAWND"
"[english]L4D_spawn_select_mode_smoker_title"	"YOU WILL SPAWN AS A SMOKER"
"L4D_spawn_select_mode_smoker_text"	"Je wordt als Smoker gespawnd"
"[english]L4D_spawn_select_mode_smoker_text"	"You will spawn as a Smoker"
"L4D_spawn_select_mode_smoker_secondary"	"Tonglasso"
"[english]L4D_spawn_select_mode_smoker_secondary"	"Tongue Snare"
"L4D_spawn_select_mode_smoker_1_title"	"Primair: TONGLASSO"
"[english]L4D_spawn_select_mode_smoker_1_title"	"Primary: TONGUE SNARE"
"L4D_spawn_select_mode_smoker_1_text"	"Aanval op lange afstand"
"[english]L4D_spawn_select_mode_smoker_1_text"	"Attack at long range"
"L4D_spawn_select_mode_smoker_2_title"	"Secundair: KLAUW"
"[english]L4D_spawn_select_mode_smoker_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_smoker_2_text"	"Aanval op korte afstand"
"[english]L4D_spawn_select_mode_smoker_2_text"	"Attack at short range"
"L4D_spawn_select_mode_boomer_title"	"JE WORDT ALS BOOMER GESPAWND"
"[english]L4D_spawn_select_mode_boomer_title"	"YOU WILL SPAWN AS A BOOMER"
"L4D_spawn_select_mode_boomer_text"	"Je wordt als Boomer gespawnd"
"[english]L4D_spawn_select_mode_boomer_text"	"You will spawn as a Boomer"
"L4D_spawn_select_mode_primary"	"Klauwaanval"
"[english]L4D_spawn_select_mode_primary"	"Claw Attack"
"L4D_spawn_select_mode_cant_spawn"	"Je kunt hier niet spawnen"
"[english]L4D_spawn_select_mode_cant_spawn"	"You can't spawn here"
"L4D_spawn_select_mode_in_sight"	"De Overlevenden kunnen je zien"
"[english]L4D_spawn_select_mode_in_sight"	"You can be seen by the Survivors"
"L4D_spawn_select_mode_too_close"	"Je bent te dicht in de buurt van de Overlevenden"
"[english]L4D_spawn_select_mode_too_close"	"You are too close to the Survivors"
"L4D_spawn_select_mode_restricted_area"	"Dit is verboden gebied"
"[english]L4D_spawn_select_mode_restricted_area"	"This is a restricted area"
"L4D_spawn_select_mode_inside_entity"	"Iets blokkeert deze plek"
"[english]L4D_spawn_select_mode_inside_entity"	"Something is blocking this spot"
"L4D_spawn_select_mode_spitter_title"	"JE WORDT ALS SPITTER GESPAWND"
"[english]L4D_spawn_select_mode_spitter_title"	"YOU WILL SPAWN AS A SPITTER"
"L4D_spawn_select_mode_spitter_text"	"Je wordt als Spitter gespawnd"
"[english]L4D_spawn_select_mode_spitter_text"	"You will spawn as a Spitter"
"L4D_spawn_select_mode_spitter_1_title"	"Primair: SPUUG"
"[english]L4D_spawn_select_mode_spitter_1_title"	"Primary: SPIT"
"L4D_spawn_select_mode_spitter_1_text"	"Aanval op middellange tot lange afstand"
"[english]L4D_spawn_select_mode_spitter_1_text"	"Attack at medium to long range"
"L4D_spawn_select_mode_spitter_2_title"	"Secundair: KLAUW"
"[english]L4D_spawn_select_mode_spitter_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_spitter_2_text"	"Aanval op korte afstand"
"[english]L4D_spawn_select_mode_spitter_2_text"	"Attack at short range"
"L4D_spawn_select_mode_jockey_title"	"JE WORDT ALS JOCKEY GESPAWND"
"[english]L4D_spawn_select_mode_jockey_title"	"YOU WILL SPAWN AS A JOCKEY"
"L4D_spawn_select_mode_jockey_text"	"Je wordt als Jockey gespawnd"
"[english]L4D_spawn_select_mode_jockey_text"	"You will spawn as a Jockey"
"L4D_spawn_select_mode_jockey_1_title"	"Primair: SPRONG"
"[english]L4D_spawn_select_mode_jockey_1_title"	"Primary: LEAP"
"L4D_spawn_select_mode_jockey_1_text"	"Spring op Overlevenden en leid ze naar gevaar"
"[english]L4D_spawn_select_mode_jockey_1_text"	"Jump on Survivors and steer them into danger"
"L4D_spawn_select_mode_jockey_2_title"	"Secundair: KLAUW"
"[english]L4D_spawn_select_mode_jockey_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_jockey_2_text"	"Aanval op korte afstand"
"[english]L4D_spawn_select_mode_jockey_2_text"	"Attack at short range"
"L4D_spawn_select_mode_charger_title"	"JE WORDT ALS CHARGER GESPAWND"
"[english]L4D_spawn_select_mode_charger_title"	"YOU WILL SPAWN AS A CHARGER"
"L4D_spawn_select_mode_charger_text"	"Je wordt als Charger gespawnd"
"[english]L4D_spawn_select_mode_charger_text"	"You will spawn as a Charger"
"L4D_spawn_select_mode_charger_1_title"	"Primair: AANVAL"
"[english]L4D_spawn_select_mode_charger_1_title"	"Primary: CHARGE"
"L4D_spawn_select_mode_charger_1_text"	"Val Overlevenden aan en sla ze in elkaar"
"[english]L4D_spawn_select_mode_charger_1_text"	"Charge into Survivors and pummel them"
"L4D_spawn_select_mode_charger_2_title"	"Secundair: KLAUW"
"[english]L4D_spawn_select_mode_charger_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_charger_2_text"	"Aanval op korte afstand"
"[english]L4D_spawn_select_mode_charger_2_text"	"Attack at short range"
"L4D_pz_team_join_title"	"SPELEN ALS GEÏNFECTEERDE"
"[english]L4D_pz_team_join_title"	"PLAY AS INFECTED"
"L4D_pz_team_join_subtitle"	"Selecteer de klasse waarin je wilt spelen. De klasse die je kiest om in te spawnen is mogelijk niet altijd beschikbaar."
"[english]L4D_pz_team_join_subtitle"	"Select the class you prefer to play. The class you choose may not always be available when you are ready to spawn."
"L4D_pz_class_select_title"	"GEÏNFECTEERDEN SELECTEREN"
"[english]L4D_pz_class_select_title"	"INFECTED CLASS SELECT"
"L4D_s_team_join_title"	"BEZIG MET AANSLUITEN BIJ DE OVERLEVENDEN"
"[english]L4D_s_team_join_title"	"JOINING THE SURVIVOR TEAM"
"L4D_s_team_join_takeover_title"	"KIJKT OP DIT MOMENT TOE"
"[english]L4D_s_team_join_takeover_title"	"CURRENTLY SPECTATING"
"L4D_s_team_join_subtitle"	"Selecteer een beschikbare Overlevende"
"[english]L4D_s_team_join_subtitle"	"Select an available Survivor"
"L4D_s_team_join_state_inactive"	"(inactief)"
"[english]L4D_s_team_join_state_inactive"	"(inactive)"
"L4D_s_team_join_state_bot"	"%s1 (BOT)"
"[english]L4D_s_team_join_state_bot"	"%s1 (BOT)"
"L4D_s_team_join_state_loading"	"%s1 (BEZIG MET LADEN)"
"[english]L4D_s_team_join_state_loading"	"%s1 (LOADING)"
"L4D_s_team_join_hour_played"	"1 uur gespeeld"
"[english]L4D_s_team_join_hour_played"	"1 hour played"
"L4D_s_team_join_hours_played"	"%s1 uur gespeeld"
"[english]L4D_s_team_join_hours_played"	"%s1 hours played"
"L4D_s_class_select_title"	"PERSONAGE OVERLEVENDEN SELECTEREN"
"[english]L4D_s_class_select_title"	"SURVIVOR CHARACTER SELECT"
"L4D_s_team_full_title"	"TEAM OVERLEVENDEN IS VOL"
"[english]L4D_s_team_full_title"	"SURVIVOR TEAM IS FULL"
"L4D_s_team_full_subtitle"	"Het team van de Overlevenden heeft al vier spelers"
"[english]L4D_s_team_full_subtitle"	"The Survivor team already has four players"
"L4D_pz_team_full_title"	"TEAM GEÏNFECTEERDEN IS VOL"
"[english]L4D_pz_team_full_title"	"INFECTED TEAM IS FULL"
"L4D_pz_team_full_subtitle"	"Het team van de Geïnfecteerden heeft al vier spelers"
"[english]L4D_pz_team_full_subtitle"	"The Infected team already has four players"
"L4D_both_team_full_title"	"BEIDE TEAMS ZIJN VOL"
"[english]L4D_both_team_full_title"	"BOTH TEAMS ARE FULL"
"L4D_both_team_full_subtitle"	"Er zitten al vier spelers in beide teams"
"[english]L4D_both_team_full_subtitle"	"There are already four players on both teams"
"L4D_team_menu_full"	"VOL"
"[english]L4D_team_menu_full"	"FULL"
"L4D_Lobby_Title"	"CAMPAGNELOBBY"
"[english]L4D_Lobby_Title"	"CAMPAIGN LOBBY"
"L4D_Lobby_Subtitle"	"Verzamel je team om de Geïnfecteerde Horde te bestrijden"
"[english]L4D_Lobby_Subtitle"	"Gather your team to fight the Infected horde"
"L4D_Lobby_Status_Waiting"	"Wachten tot vier spelers zich hebben aangemeld"
"[english]L4D_Lobby_Status_Waiting"	"Waiting for four players to join"
"L4D_Lobby_PlayerSlotAvailable"	"Spelerplaats beschikbaar"
"[english]L4D_Lobby_PlayerSlotAvailable"	"Player slot available"
"L4D_Lobby_Button_StartGame"	"HET SPEL BEGINNEN"
"[english]L4D_Lobby_Button_StartGame"	"START THE GAME"
"L4D_Lobby_PlayerDropDown"	"Demp het geluid van de speler, stuur hem een bericht of bekijk zijn SteamID-pagina.\nAls Lobby Leader kun je de speler uit de lobby kicken."
"[english]L4D_Lobby_PlayerDropDown"	"Mute, send a message to, or view the Steam ID page of the player.\nAs a Lobby Leader you may kick the player from the lobby."
"L4D_class_special_ability_title"	"SPECIALE VAARDIGHEID:"
"[english]L4D_class_special_ability_title"	"SPECIAL ABILITY:"
"L4D_class_primary_attack_title"	"PRIMAIRE AANVAL:"
"[english]L4D_class_primary_attack_title"	"PRIMARY ATTACK:"
"L4D_class_hunter_name"	"Hunter"
"[english]L4D_class_hunter_name"	"Hunter"
"L4D_class_hunter_ability_text"	"SPECIALE VAARDIGHEID: Bespringen\nSpring over grote afstanden en bespring Overlevenden om ze schade toe te brengen."
"[english]L4D_class_hunter_ability_text"	"SPECIAL ABILITY: Pounce\nLeap great distances and pounce Survivors to damage."
"L4D_class_boomer_name"	"Boomer"
"[english]L4D_class_boomer_name"	"Boomer"
"L4D_class_boomer_ability_text"	"SPECIALE VAARDIGHEID: Kotsen\nKots gal op Overlevenden om de Horde te lokken. De dood heeft een explosieve galdouche tot gevolg."
"[english]L4D_class_boomer_ability_text"	"SPECIAL ABILITY: Vomit\nVomit bile on Survivors to attract the horde. Death results in an explosive shower of bile."
"L4D_class_smoker_name"	"Smoker"
"[english]L4D_class_smoker_name"	"Smoker"
"L4D_class_smoker_ability_text"	"SPECIALE VAARDIGHEID: Tonglasso\nOmstrengel Overlevenden met je tong. Gebruik hoger gelegen plaatsen of obstakels om nietsvermoedende Overlevenden te verstrikken."
